matchId,winner_BOTTOM,winner_JUNGLE,winner_MIDDLE,winner_TOP,winner_UTILITY,loser_BOTTOM,loser_JUNGLE,loser_MIDDLE,loser_TOP,loser_UTILITY
EUW1_7123924052,Xerath,JarvanIV,Syndra,Darius,Leona,Caitlyn,Warwick,Veigar,Teemo,Pyke
EUW1_7123967948,MissFortune,Nocturne,Ahri,Malphite,Renata,Jhin,Pantheon,Hwei,Warwick,Xerath
EUW1_7124046281,Kaisa,Diana,Smolder,Darius,Morgana,MissFortune,MasterYi,Leblanc,Warwick,Thresh
EUW1_7129373441,Lucian,Diana,Leblanc,Warwick,Milio,Ezreal,Shaco,Talon,Kled,Nami
EUW1_7129391277,MissFortune,Shaco,Vex,Garen,Xerath,Caitlyn,Nocturne,TwistedFate,Warwick,Soraka
EUW1_7129609342,Ashe,Volibear,Akali,Yorick,Nami,MissFortune,Kayn,Fizz,Karma,
EUW1_7130175585,Ezreal,Shyvana,Yone,Warwick,Zyra,Jinx,Gwen,Syndra,Aatrox,Thresh
EUW1_7133233707,Brand,Warwick,Leblanc,Akali,Leona,Jinx,Nocturne,Hwei,Yone,Sona
EUW1_7134264735,KogMaw,Sejuani,Syndra,Fiora,Brand,Ezreal,JarvanIV,Hwei,Renekton,Neeko
EUW1_7134503098,Lucian,XinZhao,Fizz,Darius,Nami,Vayne,Nocturne,Malzahar,Illaoi,Poppy
EUW1_7134577741,MissFortune,Evelynn,Malzahar,Darius,Brand,Aphelios,Warwick,Viktor,Yorick,Braum
EUW1_7136048306,Vayne,Warwick,Lux,DrMundo,Yuumi,AurelionSol,Brand,Ezreal,Volibear,Thresh
EUW1_7136567514,Samira,Amumu,Xerath,Sion,Alistar,Tristana,Warwick,Veigar,Chogath,Taric
EUW1_7136609282,Teemo,XinZhao,Hwei,Chogath,,Ezreal,Graves,Orianna,DrMundo,Lux
EUW1_7136687437,Ashe,Shyvana,Syndra,Chogath,Hwei,Vayne,Nunu,Orianna,Gragas,Pantheon
EUW1_7138433413,Kaisa,Elise,Cassiopeia,KSante,Thresh,Smolder,Amumu,Anivia,Ornn,Taric
EUW1_7138473993,Kaisa,JarvanIV,Ekko,Yone,Milio,Jinx,Diana,Ahri,Quinn,TahmKench
EUW1_7138518458,Karthus,JarvanIV,Ziggs,TahmKench,Brand,Zeri,Amumu,Syndra,Garen,Shaco
EUW1_7138539360,KogMaw,Hecarim,Ahri,Malphite,Pyke,Veigar,Evelynn,Akshan,Olaf,Zyra
